from_city,to_city,distance_km
Станция Силикатная,"Собинка, Владимирская область",192.77
Станция Силикатная,"Волгоград, Волгоградская область",953.04
Станция Силикатная,"Волжский, Волгоградская область",986.46
Станция Силикатная,"Камышин, Волгоградская область",1039.61
Станция Силикатная,"Михайловка, Волгоградская область",771.1
Станция Силикатная,"Урюпинск, Волгоградская область",677.63
Станция Силикатная,"Фролово, Волгоградская область",821.31
Станция Силикатная,"Котово, Волгоградская область",910.13
Станция Силикатная,"Жирновск, Волгоградская область",857.02
Станция Силикатная,"Котельниково, Волгоградская область",1157.2
Станция Силикатная,"Вологда, Вологодская область",519.26
Станция Силикатная,"Череповец, Вологодская область",653.65
Станция Силикатная,"Сокол, Вологодская область",569.76
Станция Силикатная,"Великий Устюг, Вологодская область",1068.23
Станция Силикатная,"Грязовец, Вологодская область",474.78
Станция Силикатная,"Бабаево, Вологодская область",595.51
Станция Силикатная,"Вытегра, Вологодская область",843.06
Станция Силикатная,"Харовск, Вологодская область",641.05
Станция Силикатная,"Кириллов, Вологодская область",648.63
Станция Силикатная,"Никольск, Вологодская область",905.68
Станция Силикатная,"Воронеж, Воронежская область",499.71
Станция Силикатная,"Борисоглебск, Воронежская область",599.44
Станция Силикатная,"Россошь, Воронежская область",712.31
Станция Силикатная,"Лиски, Воронежская область",602.15
Станция Силикатная,"Острогожск, Воронежская область",624.55
Станция Силикатная,"Нововоронеж, Воронежская область",551.02
Станция Силикатная,"Павловск, Воронежская область",662.67
Станция Силикатная,"Бутурлиновка, Воронежская область",674.79
Станция Силикатная,"Семилуки, Воронежская область",506.67
Станция Силикатная,"Калач, Воронежская область",722.98
Станция Силикатная,"Поворино, Воронежская область",625.11
Станция Силикатная,"Иваново, Ивановская область",333.03
Станция Силикатная,"Кинешма, Ивановская область",429.76
Станция Силикатная,"Шуя, Ивановская область",353.91
Станция Силикатная,"Вичуга, Ивановская область",397.73
Станция Силикатная,"Фурманов, Ивановская область",368.04
Станция Силикатная,"Тейково, Ивановская область",314.24
Станция Силикатная,"Кохма, Ивановская область",337.1
Станция Силикатная,"Родники, Ивановская область",378.82
Станция Силикатная,"Южа, Ивановская область",372.83
Станция Силикатная,"Заволжск, Ивановская область",438.18
Станция Силикатная,"Иркутск, Иркутская область",5197.24
Станция Силикатная,"Братск, Иркутская область",5021.48
Станция Силикатная,"Ангарск, Иркутская область",5162.44
Станция Силикатная,"Усть-Илимск, Иркутская область",5300.87
Станция Силикатная,"Усолье-Сибирское, Иркутская область",5119.49
Станция Силикатная,"Черемхово, Иркутская область",5054.6
Станция Силикатная,"Шелехов, Иркутская область",5207.74
Станция Силикатная,"Тулун, Иркутская область",4800.9
Станция Силикатная,"Саянск, Иркутская область",4935.27
Станция Силикатная,"Нижнеудинск, Иркутская область",4682.62
Станция Силикатная,"Тайшет, Иркутская область",4533.62
Станция Силикатная,"Зима, Иркутская область",4940.71
Станция Силикатная,"Железногорск-Илимский, Иркутская область",5254.57
Станция Силикатная,"Вихоревка, Иркутская область",5004.38
Станция Силикатная,"Калининград, Калининградская область",машрут не может быть построен
Станция Силикатная,"Советск, Калининградская область",машрут не может быть построен
Станция Силикатная,"Черняховск, Калининградская область",машрут не может быть построен
Станция Силикатная,"Балтийск, Калининградская область",машрут не может быть построен
Станция Силикатная,"Гусев, Калининградская область",машрут не может быть построен
Станция Силикатная,"Светлый, Калининградская область",машрут не может быть построен
Станция Силикатная,"Гвардейск, Калининградская область",машрут не может быть построен
Станция Силикатная,"Пионерский, Калининградская область",машрут не может быть построен
Станция Силикатная,"Неман, Калининградская область",машрут не может быть построен
Станция Силикатная,"Озёрск, Калининградская область",машрут не может быть построен
Станция Силикатная,"Калуга, Калужская область",232.2
Станция Силикатная,"Обнинск, Калужская область",87.72
Станция Силикатная,"Людиново, Калужская область",308.91
Станция Силикатная,"Киров, Калужская область",336.52
Станция Силикатная,"Малоярославец, Калужская область",106.18
Станция Силикатная,"Балабаново, Калужская область",83.66
Станция Силикатная,"Козельск, Калужская область",288.03
Станция Силикатная,"Кондрово, Калужская область",162.04
Станция Силикатная,"Сухиничи, Калужская область",234.26
Станция Силикатная,"Таруса, Калужская область",машрут не может быть построен
Станция Силикатная,"Жуков, Калужская область",91.78
Станция Силикатная,"Кемерово, Кемеровская область",3634.93
Станция Силикатная,"Новокузнецк, Кемеровская область",3834.75
Станция Силикатная,"Прокопьевск, Кемеровская область",3808.53
Станция Силикатная,"Ленинск-Кузнецкий, Кемеровская область",3703.54
Станция Силикатная,"Киселёвск, Кемеровская область",3789.85
Станция Силикатная,"Междуреченск, Кемеровская область",3913.3
Станция Силикатная,"Юрга, Кемеровская область",3543.33
Станция Силикатная,"Белово, Кемеровская область",3736.08
Станция Силикатная,"Анжеро-Судженск, Кемеровская область",3718.22
Станция Силикатная,"Берёзовский, Кемеровская область",3664.85
Станция Силикатная,"Осинники, Кемеровская область",3861.05
Станция Силикатная,"Мыски, Кемеровская область",3887.06
Станция Силикатная,"Мариинск, Кемеровская область",3787.49
Станция Силикатная,"Топки, Кемеровская область",3600.12
Станция Силикатная,"Гурьевск, Кемеровская область",3732.51
Станция Силикатная,"Таштагол, Кемеровская область",3989.04
Станция Силикатная,"Полысаево, Кемеровская область",3710.46
Станция Силикатная,"Калтан, Кемеровская область",3872.44
Станция Силикатная,"Салаир, Кемеровская область",3743.54
Станция Силикатная,"Киров, Кировская область",1055.0
Станция Силикатная,"Кирово-Чепецк, Кировская область",1099.35
Станция Силикатная,"Слободской, Кировская область",1078.85
Станция Силикатная,"Вятские Поляны, Кировская область",1023.39
Станция Силикатная,"Котельнич, Кировская область",932.72
Станция Силикатная,"Омутнинск, Кировская область",1213.52
Станция Силикатная,"Яранск, Кировская область",899.03
Станция Силикатная,"Советск, Кировская область",985.28
Станция Силикатная,"Зуевка, Кировская область",1178.33
Станция Силикатная,"Белая Холуница, Кировская область",1123.95
Станция Силикатная,"Малмыж, Кировская область",1020.83
Станция Силикатная,"Нолинск, Кировская область",1024.76
Станция Силикатная,"Кострома, Костромская область",437.72
Станция Силикатная,"Буй, Костромская область",542.31
Станция Силикатная,"Шарья, Костромская область",759.32
Станция Силикатная,"Нерехта, Костромская область",машрут не может быть построен
Станция Силикатная,"Мантурово, Костромская область",699.97
Станция Силикатная,"Галич, Костромская область",563.0
Станция Силикатная,"Волгореченск, Костромская область",394.86
Станция Силикатная,"Нея, Костромская область",666.13
Станция Силикатная,"Макарьев, Костромская область",622.54
Станция Силикатная,"Чухлома, Костромская область",611.0
Станция Силикатная,"Курган, Курганская область",2060.03
Станция Силикатная,"Шадринск, Курганская область",2027.4
Станция Силикатная,"Шумиха, Курганская область",1917.58
Станция Силикатная,"Куртамыш, Курганская область",2050.48
Станция Силикатная,"Далматово, Курганская область",2024.04
Станция Силикатная,"Катайск, Курганская область",1997.2
Станция Силикатная,"Петухово, Курганская область",2234.34
Станция Силикатная,"Щучье, Курганская область",1889.02
Станция Силикатная,"Макушино, Курганская область",2187.91
Станция Силикатная,"Курск, Курская область",505.35
Станция Силикатная,"Железногорск, Курская область",444.71
Станция Силикатная,"Курчатов, Курская область",567.67
Станция Силикатная,"Льгов, Курская область",587.62
Станция Силикатная,"Щигры, Курская область",508.22
Станция Силикатная,"Рыльск, Курская область",536.61
Станция Силикатная,"Обоянь, Курская область",570.6
Станция Силикатная,"Дмитриев-Льговский, Курская область",474.41
Станция Силикатная,"Суджа, Курская область",602.05
Станция Силикатная,"Гатчина, Ленинградская область",732.69
Станция Силикатная,"Выборг, Ленинградская область",машрут не может быть построен
Станция Силикатная,"Сосновый Бор, Ленинградская область",819.49
Станция Силикатная,"Тихвин, Ленинградская область",767.61
Станция Силикатная,"Кириши, Ленинградская область",683.27
Станция Силикатная,"Кингисепп, Ленинградская область",852.29
Станция Силикатная,"Всеволожск, Ленинградская область",767.4
Станция Силикатная,"Волхов, Ленинградская область",854.48
Станция Силикатная,"Луга, Ленинградская область",710.25
Станция Силикатная,"Приозерск, Ленинградская область",896.99
Станция Силикатная,"Сланцы, Ленинградская область",902.49
Станция Силикатная,"Пикалёво, Ленинградская область",679.42
Станция Силикатная,"Коммунар, Ленинградская область",741.46
Станция Силикатная,"Никольское, Ленинградская область",716.23
Станция Силикатная,"Отрадное, Ленинградская область",725.05
Станция Силикатная,"Шлиссельбург, Ленинградская область",777.76
Станция Силикатная,"Липецк, Липецкая область",448.26
Станция Силикатная,"Елец, Липецкая область",376.8
Станция Силикатная,"Грязи, Липецкая область",441.82
Станция Силикатная,"Данков, Липецкая область",363.62
Станция Силикатная,"Лебедянь, Липецкая область",412.07
Станция Силикатная,"Усмань, Липецкая область",489.99
Станция Силикатная,"Чаплыгин, Липецкая область",338.17
Станция Силикатная,"Задонск, Липецкая область",412.51
Станция Силикатная,"Магадан, Магаданская область",9608.3
Станция Силикатная,"Сусуман, Магаданская область",8981.27
Станция Силикатная,"Ола, Магаданская область",9618.86
Станция Силикатная,"Палатка, Магаданская область",9525.29
Станция Силикатная,"Ягодное, Магаданская область",9086.25
Станция Силикатная,"Усть-Омчуг, Магаданская область",9229.69
Станция Силикатная,"Апрелевка, Московская область",49.41
Станция Силикатная,"Балашиха, Московская область",55.43
Станция Силикатная,"Бронницы, Московская область",82.1
Станция Силикатная,"Верея, Московская область",132.9
Станция Силикатная,"Видное, Московская область",23.07
Станция Силикатная,"Волоколамск, Московская область",145.84
Станция Силикатная,"Воскресенск, Московская область",108.74
Станция Силикатная,"Высоковск, Московская область",149.74
Станция Силикатная,"Голицыно, Московская область",60.2
Станция Силикатная,"Дедовск, Московская область",76.05
Станция Силикатная,"Дзержинский, Московская область",34.67
Станция Силикатная,"Дмитров, Московская область",118.79
Станция Силикатная,"Долгопрудный, Московская область",67.61
Станция Силикатная,"Домодедово, Московская область",29.16
Станция Силикатная,"Дрезна, Московская область",143.77
Станция Силикатная,"Дубна, Московская область",машрут не может быть построен
Станция Силикатная,"Егорьевск, Московская область",144.61
Станция Силикатная,"Жуковский, Московская область",65.6
Станция Силикатная,"Зарайск, Московская область",169.25
Станция Силикатная,"Звенигород, Московская область",91.25
Станция Силикатная,"Ивантеевка, Московская область",81.54
